area_code,available_forecast_rows,elapsed_seconds,expected_forecast_rows,forecast_origin_utc,forecast_rows,mode,note,origin,phase,reason,shared_model,status,timestamp
SE1,,1.0,,,36,L2_recursive_lags,,2025-10-19T06:00:00+02:00,test,,,done,2026-06-08T10:48:08Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-10-24T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:09Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-10-24T06:00:00+02:00,test,,,done,2026-06-08T10:48:09Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-10-24T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:09Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-10-24T06:00:00+02:00,test,,,done,2026-06-08T10:48:09Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-10-29T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:10Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-10-29T06:00:00+01:00,test,,,done,2026-06-08T10:48:10Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-10-29T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:10Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-10-29T06:00:00+01:00,test,,,done,2026-06-08T10:48:10Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-11-03T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:11Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-11-03T06:00:00+01:00,test,,,done,2026-06-08T10:48:11Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-11-03T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:11Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-11-03T06:00:00+01:00,test,,,done,2026-06-08T10:48:12Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-11-08T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:13Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-11-08T06:00:00+01:00,test,,,done,2026-06-08T10:48:13Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-11-08T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:13Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-11-08T06:00:00+01:00,test,,,done,2026-06-08T10:48:13Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-11-13T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:14Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-11-13T06:00:00+01:00,test,,,done,2026-06-08T10:48:14Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-11-13T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:14Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-11-13T06:00:00+01:00,test,,,done,2026-06-08T10:48:14Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-11-18T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:15Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-11-18T06:00:00+01:00,test,,,done,2026-06-08T10:48:15Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-11-18T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:15Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-11-18T06:00:00+01:00,test,,,done,2026-06-08T10:48:16Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-11-23T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:17Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-11-23T06:00:00+01:00,test,,,done,2026-06-08T10:48:17Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-11-23T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:17Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-11-23T06:00:00+01:00,test,,,done,2026-06-08T10:48:17Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-11-28T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:18Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-11-28T06:00:00+01:00,test,,,done,2026-06-08T10:48:18Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-11-28T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:18Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-11-28T06:00:00+01:00,test,,,done,2026-06-08T10:48:18Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-12-03T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:19Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-12-03T06:00:00+01:00,test,,,done,2026-06-08T10:48:19Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-12-03T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:19Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-12-03T06:00:00+01:00,test,,,done,2026-06-08T10:48:20Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-12-08T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:21Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-12-08T06:00:00+01:00,test,,,done,2026-06-08T10:48:21Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-12-08T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:21Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-12-08T06:00:00+01:00,test,,,done,2026-06-08T10:48:21Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-12-13T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:22Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-12-13T06:00:00+01:00,test,,,done,2026-06-08T10:48:22Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-12-13T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:22Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-12-13T06:00:00+01:00,test,,,done,2026-06-08T10:48:22Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-12-18T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:23Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-12-18T06:00:00+01:00,test,,,done,2026-06-08T10:48:23Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-12-18T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:23Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-12-18T06:00:00+01:00,test,,,done,2026-06-08T10:48:24Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-12-23T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:25Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-12-23T06:00:00+01:00,test,,,done,2026-06-08T10:48:25Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-12-23T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:25Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-12-23T06:00:00+01:00,test,,,done,2026-06-08T10:48:25Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-12-28T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:26Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-12-28T06:00:00+01:00,test,,,done,2026-06-08T10:48:26Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-12-28T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:26Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-12-28T06:00:00+01:00,test,,,done,2026-06-08T10:48:26Z
SE1,,2.0,,,,L1_origin_known_fallback,shared model fit reused,2026-01-02T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:28Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2026-01-02T06:00:00+01:00,test,,,done,2026-06-08T10:48:28Z
SE1,,2.0,,,,L2_recursive_lags,shared model fit reused,2026-01-02T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:28Z
SE1,,0.0,,,36,L2_recursive_lags,,2026-01-02T06:00:00+01:00,test,,,done,2026-06-08T10:48:28Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2026-01-07T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:29Z
