forecast_origin_timestamp_utc,target_timestamp_utc,horizon_h,split,target_consumption_se1_mw,weather_proxy_label,price_forecast_source,forecast_se1_price_target_hour,pred_HGB_no_price,pred_HGB_with_p0054h_price_forecast,pred_ExtraTrees_no_price,pred_ExtraTrees_with_p0054h_price_forecast,pred_LightGBM_no_price,pred_LightGBM_with_p0054h_price_forecast,pred_XGBoost_no_price,pred_XGBoost_with_p0054h_price_forecast
2022-06-13T23:00:00Z,2022-06-14T10:00:00Z,12,train_fit,1118.190673,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.76904,,,,,,,,
2022-06-13T23:00:00Z,2022-06-14T22:00:00Z,24,train_fit,970.353547,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-13T23:00:00Z,2022-06-15T22:00:00Z,48,train_fit,1011.239595,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-13T23:00:00Z,2022-06-16T22:00:00Z,72,train_fit,1059.316997,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-13T23:00:00Z,2022-06-17T22:00:00Z,96,train_fit,1023.901355,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-13T23:00:00Z,2022-06-18T22:00:00Z,120,train_fit,979.885472,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-13T23:00:00Z,2022-06-19T22:00:00Z,144,train_fit,1036.550655,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.17538,,,,,,,,
2022-06-13T23:00:00Z,2022-06-20T22:00:00Z,168,train_fit,1033.166469,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.1393,,,,,,,,
2022-06-14T23:00:00Z,2022-06-14T23:00:00Z,1,train_fit,928.767056,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.06402,,,,,,,,
2022-06-14T23:00:00Z,2022-06-15T01:00:00Z,3,train_fit,941.156025,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.90815,,,,,,,,
2022-06-14T23:00:00Z,2022-06-15T04:00:00Z,6,train_fit,1021.46228,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.46338,,,,,,,,
2022-06-14T23:00:00Z,2022-06-15T10:00:00Z,12,train_fit,1041.984452,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.84294,,,,,,,,
2022-06-14T23:00:00Z,2022-06-15T22:00:00Z,24,train_fit,1011.239595,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-14T23:00:00Z,2022-06-16T22:00:00Z,48,train_fit,1059.316997,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
