regime,prediction_column,row_count,MAE,RMSE,bias,R2
high_forecast_price,pred_XGBoost_with_p0054k_se3_price_forecast,2142,142.90289221046703,190.0697436128568,-108.91349431508597,0.8778261408760684
low_forecast_price,pred_HGB_no_price,2142,92.47080039979299,123.72280451162962,-6.073943997359797,0.8868712634659569
low_forecast_price,pred_HGB_with_p0054k_se3_price_forecast,2142,94.7804685075383,126.72997109007305,-4.624176591435806,0.8813050897009839
low_forecast_price,pred_ExtraTrees_no_price,2142,80.87343413925191,109.33386302913897,-18.402615025565467,0.9116548299395834
low_forecast_price,pred_ExtraTrees_with_p0054k_se3_price_forecast,2142,81.06193412836788,110.69535188253322,-21.60889487601942,0.9094408796556005
low_forecast_price,pred_LightGBM_no_price,2142,80.40237533808022,111.24569799335616,-16.827429370291892,0.9085381723383068
low_forecast_price,pred_LightGBM_with_p0054k_se3_price_forecast,2142,81.2539029848267,110.89857238699277,-10.638909095410844,0.909108067792254
low_forecast_price,pred_XGBoost_no_price,2142,75.7548102109594,100.39198315468575,-3.0454051384220344,0.9255145421204954
low_forecast_price,pred_XGBoost_with_p0054k_se3_price_forecast,2142,76.43557858503294,103.11479559529094,1.2964189772919572,0.9214193900722802
large_forecast_price_ramp,pred_HGB_no_price,858,188.1135157999,237.22330387615796,-165.71811468869686,0.7718347206680032
large_forecast_price_ramp,pred_HGB_with_p0054k_se3_price_forecast,858,181.79970555363718,227.32615347021675,-156.19761427161052,0.790476054507409
large_forecast_price_ramp,pred_ExtraTrees_no_price,858,191.3354835825054,233.64164465136088,-179.0159615920336,0.7786725063108382
large_forecast_price_ramp,pred_ExtraTrees_with_p0054k_se3_price_forecast,858,194.8406033317326,237.0984435654923,-183.350951418938,0.7720748428633277
large_forecast_price_ramp,pred_LightGBM_no_price,858,181.66026170303465,231.5725682014529,-156.03367782032691,0.7825751991259541
large_forecast_price_ramp,pred_LightGBM_with_p0054k_se3_price_forecast,858,177.3846058106766,226.51376968441895,-154.85394250597994,0.7919709085856418
large_forecast_price_ramp,pred_XGBoost_no_price,858,126.85200243005174,174.47167615403131,-93.94167250447998,0.8765802326268852
large_forecast_price_ramp,pred_XGBoost_with_p0054k_se3_price_forecast,858,125.42015715011287,172.5390383362073,-88.11795114120784,0.8792993516286817
forecast_price_spike,pred_HGB_no_price,867,246.279725316957,285.60872625464793,-233.887100110247,0.7256844240600877
forecast_price_spike,pred_HGB_with_p0054k_se3_price_forecast,867,238.9624923392391,276.2624269280036,-222.96433365249956,0.7433441493975945
forecast_price_spike,pred_ExtraTrees_no_price,867,229.3411145701133,266.8007523429542,-226.58266167260558,0.760623439192352
forecast_price_spike,pred_ExtraTrees_with_p0054k_se3_price_forecast,867,235.1687094684393,272.48741580214596,-233.29186801466992,0.7503104172330743
