area_code,elapsed_seconds,feature_count,forecast_rows,forecast_rows_162h,forecast_rows_168h,model_id,phase,status,timestamp,train_rows,week_id
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:09Z,31803,2026-W06
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:09Z,,2026-W06
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:12Z,31971,2026-W07
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:12Z,,2026-W07
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:14Z,32139,2026-W08
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:14Z,,2026-W08
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:17Z,32307,2026-W09
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:17Z,,2026-W09
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:19Z,32475,2026-W10
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:19Z,,2026-W10
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:22Z,32643,2026-W11
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:22Z,,2026-W11
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:24Z,32811,2026-W12
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:24Z,,2026-W12
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:27Z,32979,2026-W13
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:27Z,,2026-W13
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:29Z,33147,2026-W14
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:29Z,,2026-W14
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:31Z,33315,2026-W15
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:31Z,,2026-W15
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:34Z,33483,2026-W16
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:34Z,,2026-W16
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:37Z,33651,2026-W17
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:37Z,,2026-W17
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:39Z,33819,2026-W18
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:39Z,,2026-W18
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:42Z,33987,2026-W19
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:42Z,,2026-W19
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:44Z,34155,2026-W20
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:44Z,,2026-W20
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:47Z,34323,2026-W21
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:47Z,,2026-W21
SE2,2.0,50,144,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:49Z,34491,2026-W22
SE2,0.0,,,138,144,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:49Z,,2026-W22
SE3,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:53Z,26002,2025-W23
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:53Z,,2025-W23
SE3,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:55Z,26170,2025-W24
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:55Z,,2025-W24
SE3,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:57Z,26338,2025-W25
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:57Z,,2025-W25
SE3,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:59Z,26506,2025-W26
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:59Z,,2025-W26
SE3,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:02Z,26674,2025-W27
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:02Z,,2025-W27
SE3,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:04Z,26842,2025-W28
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:04Z,,2025-W28
SE3,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:06Z,27010,2025-W29
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:06Z,,2025-W29
SE3,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:09Z,27178,2025-W30
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:09Z,,2025-W30
SE3,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:11Z,27346,2025-W31
SE3,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:11Z,,2025-W31
SE3,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:13Z,27513,2025-W32
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:13Z,,2025-W32
SE3,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:16Z,27681,2025-W33
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:16Z,,2025-W33
SE3,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:18Z,27849,2025-W34
SE3,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:18Z,,2025-W34
SE3,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:20Z,28016,2025-W35
SE3,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:20Z,,2025-W35
SE3,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:23Z,28183,2025-W36
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:23Z,,2025-W36
SE3,2.0,50,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:25Z,28351,2025-W37
SE3,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:25Z,,2025-W37
SE3,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:27Z,28517,2025-W38
SE3,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:27Z,,2025-W38
SE3,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:30Z,28684,2025-W39
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:30Z,,2025-W39
SE3,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:32Z,28852,2025-W40
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:32Z,,2025-W40
SE3,2.0,50,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:34Z,29020,2025-W41
SE3,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:34Z,,2025-W41
SE3,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:37Z,29186,2025-W42
SE3,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:52:37Z,,2025-W42
SE3,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:52:39Z,29354,2025-W43
