regime,start_timestamp_utc,end_timestamp_utc,length_hours,mean_spread,max_abs_spread
spread_near_zero,2025-02-05T01:00:00+00:00,2025-02-05T03:00:00+00:00,3,0.004256666666666668,0.010609999999999998
spread_positive,2025-02-05T04:00:00+00:00,2025-02-06T05:00:00+00:00,26,0.3242023076923077,0.75131
spread_spike_positive,2025-02-06T06:00:00+00:00,2025-02-06T12:00:00+00:00,7,1.546737142857143,2.21986
spread_positive,2025-02-06T13:00:00+00:00,2025-02-06T14:00:00+00:00,2,0.7150350000000001,0.73825
spread_spike_positive,2025-02-06T15:00:00+00:00,2025-02-06T18:00:00+00:00,4,0.9898775000000001,1.11924
spread_positive,2025-02-06T19:00:00+00:00,2025-02-07T06:00:00+00:00,12,0.4613791666666666,0.7568699999999999
spread_spike_positive,2025-02-07T07:00:00+00:00,2025-02-07T07:00:00+00:00,1,0.86056,0.86056
spread_positive,2025-02-07T08:00:00+00:00,2025-02-08T15:00:00+00:00,32,0.4310678124999999,0.77949
spread_spike_positive,2025-02-08T16:00:00+00:00,2025-02-08T17:00:00+00:00,2,0.9271800000000001,1.03255
spread_positive,2025-02-08T18:00:00+00:00,2025-02-10T05:00:00+00:00,36,0.4594366666666667,0.71148
spread_spike_positive,2025-02-10T06:00:00+00:00,2025-02-10T09:00:00+00:00,4,1.207335,1.34762
spread_positive,2025-02-10T10:00:00+00:00,2025-02-10T14:00:00+00:00,5,0.735546,0.77968
spread_spike_positive,2025-02-10T15:00:00+00:00,2025-02-10T17:00:00+00:00,3,0.9215166666666667,0.9839600000000001
spread_positive,2025-02-10T18:00:00+00:00,2025-02-11T06:00:00+00:00,13,0.46446461538461536,0.78533
spread_spike_positive,2025-02-11T07:00:00+00:00,2025-02-11T07:00:00+00:00,1,0.9246900000000001,0.9246900000000001
spread_positive,2025-02-11T08:00:00+00:00,2025-02-12T04:00:00+00:00,21,0.4961285714285714,0.77707
spread_spike_positive,2025-02-12T05:00:00+00:00,2025-02-12T20:00:00+00:00,16,1.250790625,1.84669
spread_positive,2025-02-12T21:00:00+00:00,2025-02-13T06:00:00+00:00,10,0.5374909999999999,0.79523
spread_spike_positive,2025-02-13T07:00:00+00:00,2025-02-13T10:00:00+00:00,4,0.9615624999999999,1.1903199999999998
spread_positive,2025-02-13T11:00:00+00:00,2025-02-13T14:00:00+00:00,4,0.6485075,0.77087
spread_spike_positive,2025-02-13T15:00:00+00:00,2025-02-13T18:00:00+00:00,4,1.1050200000000001,1.28076
spread_positive,2025-02-13T19:00:00+00:00,2025-02-14T02:00:00+00:00,8,0.54403375,0.6862600000000001
spread_spike_positive,2025-02-14T03:00:00+00:00,2025-02-14T09:00:00+00:00,7,1.4669457142857143,2.31747
spread_positive,2025-02-14T10:00:00+00:00,2025-02-14T14:00:00+00:00,5,0.42496600000000007,0.70354
spread_spike_positive,2025-02-14T15:00:00+00:00,2025-02-14T21:00:00+00:00,7,2.0877742857142856,3.13509
spread_positive,2025-02-14T22:00:00+00:00,2025-02-14T22:00:00+00:00,1,0.71482,0.71482
spread_spike_positive,2025-02-14T23:00:00+00:00,2025-02-14T23:00:00+00:00,1,0.83921,0.83921
spread_positive,2025-02-15T00:00:00+00:00,2025-02-15T06:00:00+00:00,7,0.69386,0.79549
spread_spike_positive,2025-02-15T07:00:00+00:00,2025-02-15T10:00:00+00:00,4,0.857355,0.87809
spread_positive,2025-02-15T11:00:00+00:00,2025-02-15T13:00:00+00:00,3,0.6755533333333333,0.7011000000000001
spread_spike_positive,2025-02-15T14:00:00+00:00,2025-02-17T10:00:00+00:00,45,1.2799180000000001,2.28977
spread_positive,2025-02-17T11:00:00+00:00,2025-02-17T12:00:00+00:00,2,0.763725,0.8053199999999999
spread_spike_positive,2025-02-17T13:00:00+00:00,2025-02-17T22:00:00+00:00,10,1.5088830000000002,2.34378
spread_positive,2025-02-17T23:00:00+00:00,2025-02-18T04:00:00+00:00,6,0.6122716666666667,0.75203
spread_spike_positive,2025-02-18T05:00:00+00:00,2025-02-18T08:00:00+00:00,4,1.0267875,1.19519
spread_positive,2025-02-18T09:00:00+00:00,2025-02-18T15:00:00+00:00,7,0.6388885714285715,0.75786
spread_spike_positive,2025-02-18T16:00:00+00:00,2025-02-18T19:00:00+00:00,4,0.9924274999999999,1.11598
spread_positive,2025-02-18T20:00:00+00:00,2025-02-19T03:00:00+00:00,8,0.71202875,0.79836
spread_spike_positive,2025-02-19T04:00:00+00:00,2025-02-19T12:00:00+00:00,9,1.1626088888888888,1.77592
spread_positive,2025-02-19T13:00:00+00:00,2025-02-19T14:00:00+00:00,2,0.7252399999999999,0.7389699999999999
spread_spike_positive,2025-02-19T15:00:00+00:00,2025-02-19T18:00:00+00:00,4,0.9448475000000001,0.99076
