MAE_0_12h,MAE_0_24h,MAE_0_36h,MAE_0_6h,MAE_24_36h,RMSE_0_36h,absolute_energy_error_MWh_36h,area_code,bias_0_36h,energy_error_percent_36h,forecast_origin_local,forecast_origin_utc,forecast_rows,mean_actual_mw,origin_id,origin_month,origin_weekday,p90_absolute_error,p95_absolute_error,raw_train_rows,signed_energy_error_MWh_36h,train_end,train_rows,train_start,train_window_name,train_window_variant
301.6901676440701,430.2190819082716,485.3794203494239,333.51092107291333,595.7000972317286,518.3092974497964,17473.659132579283,SE2,485.3794203494239,29.197218127189807,2025-11-28T06:00:00+01:00,2025-11-28T05:00:00Z,36,1662.4166666666667,20251128T060000+0100,11,4,698.8511840673527,709.6033690699511,9074,17473.659132579283,2025-11-28T05:00:00Z,9074,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
237.87392171675572,213.18575763976887,177.3418569174422,229.99525500730348,105.65405547278876,207.8404143841761,1801.449710709523,SE2,-50.04026974193139,2.5322480599981114,2025-12-03T06:00:00+01:00,2025-12-03T05:00:00Z,36,1976.1203703703702,20251203T060000+0100,12,2,313.48640611493806,341.7991872270657,5240,-1801.449710709523,2025-12-03T05:00:00Z,5240,2023-12-03T05:00:00Z,rolling_2_years,TW2
258.7673554248291,184.0270154118751,189.9510228272553,306.02046108844473,201.79903765801566,233.49649600646092,4596.214403242615,SE2,127.67262231229489,6.460771531258801,2025-12-03T06:00:00+01:00,2025-12-03T05:00:00Z,36,1976.1203703703702,20251203T060000+0100,12,2,354.063663051553,452.6199722161242,7857,4596.214403242615,2025-12-03T05:00:00Z,7857,2022-12-03T05:00:00Z,rolling_3_years,TW3
264.6280320085867,187.10022225035846,201.62322899878438,337.09681373907785,230.66924249563624,253.79002238049426,5979.955106466397,SE2,166.1098640685108,8.405857586366475,2025-12-03T06:00:00+01:00,2025-12-03T05:00:00Z,36,1976.1203703703702,20251203T060000+0100,12,2,382.78801995559866,493.5904072764855,9110,5979.955106466397,2025-12-03T05:00:00Z,9110,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
116.66267081424174,127.4940417993356,119.59195655675047,73.94029708857931,103.78778607158019,139.29144410538285,2218.2314849815157,SE2,-61.61754124948604,3.244625500341077,2025-12-08T06:00:00+01:00,2025-12-08T05:00:00Z,36,1899.064814814815,20251208T060000+0100,12,0,200.993201694984,245.71041951262686,5240,-2218.2314849815157,2025-12-08T05:00:00Z,5240,2023-12-08T05:00:00Z,rolling_2_years,TW2
111.85859504309877,102.05284094021272,108.56518127554367,161.35073864127992,121.58986194620553,133.81764073830914,1024.8363789236464,SE2,28.467677192324036,1.49903662951596,2025-12-08T06:00:00+01:00,2025-12-08T05:00:00Z,36,1899.064814814815,20251208T060000+0100,12,0,234.970074022586,248.64498823283526,7857,1024.8363789236464,2025-12-08T05:00:00Z,7857,2022-12-08T05:00:00Z,rolling_3_years,TW3
126.85551623318793,110.94087523276589,104.94317048007717,150.1020467189678,92.94776097469975,131.53366943639392,329.15307758587005,SE2,-9.143141044051625,0.4814549231140133,2025-12-08T06:00:00+01:00,2025-12-08T05:00:00Z,36,1899.064814814815,20251208T060000+0100,12,0,222.76209138363993,258.0545823946863,9146,-329.15307758587005,2025-12-08T05:00:00Z,9146,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
422.8531974892373,499.3602673967444,483.1073530625197,585.2007609883126,450.6015243940701,536.9493791030492,10369.455578390975,SE2,288.04043273308207,12.229429513027295,2025-12-13T06:00:00+01:00,2025-12-13T05:00:00Z,36,2355.3055555555557,20251213T060000+0100,12,5,823.9766540582023,843.0860187130857,5240,10369.455578390975,2025-12-13T05:00:00Z,5240,2023-12-13T05:00:00Z,rolling_2_years,TW2
344.15159786653567,423.06174443299443,437.6540617314383,409.0332446014829,466.8386963283258,502.4357458692088,10847.147287113985,SE2,301.3096468642773,12.792804999485776,2025-12-13T06:00:00+01:00,2025-12-13T05:00:00Z,36,2355.3055555555557,20251213T060000+0100,12,5,795.4146883343788,935.888658205843,7857,10847.147287113985,2025-12-13T05:00:00Z,7857,2022-12-13T05:00:00Z,rolling_3_years,TW3
351.39213846208094,413.15445459177425,419.85879684222505,450.18422048879023,433.2674813431272,471.2900722365697,9712.706040454636,SE2,269.7973900126286,11.454878513585918,2025-12-13T06:00:00+01:00,2025-12-13T05:00:00Z,36,2355.3055555555557,20251213T060000+0100,12,5,721.999762196876,826.1596301466376,9182,9712.706040454636,2025-12-13T05:00:00Z,9182,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
