regime,prediction_column,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2
low_forecast_price,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,3198,463.9835313888003,588.0334032647753,121.28888371000433,383.34711180363956,964.5624084272686,1183.3047888839565,0.059565724744849426,0.7296218258088755
low_forecast_price,pred_LightGBM_no_price,3198,434.04323866883345,554.4438011689862,137.85237211461268,357.9812053143314,916.43407190883,1127.400320640365,0.05604736813975398,0.7596286504221539
low_forecast_price,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,3198,440.63264349609346,569.402641882558,61.75052685622828,358.08737500366306,936.2936973804885,1190.4956676829468,0.056361131741708856,0.7464832884220456
low_forecast_price,pred_XGBoost_no_price,3198,419.33249209914726,530.5311969160207,72.5634469928308,350.135986328125,876.7519042968751,1055.6613281249986,0.05375996610653715,0.7799154829581404
low_forecast_price,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,3198,441.7014187639247,554.9205888418426,34.047141941333784,378.139404296875,902.4810546875,1066.6656249999999,0.05635552299328652,0.7592150634246883
large_forecast_price_ramp,pred_HGB_no_price,1280,700.6632840820055,967.485002283721,-457.759150682267,464.9545284476485,1682.359195489408,2186.5206273426475,0.06662610226439,0.7691522677573834
large_forecast_price_ramp,pred_HGB_with_p0054n_exact_dayahead_advanced_price,1280,713.269524171481,987.3110223334905,-462.8580291038261,458.6827815711372,1768.1064231779608,2229.6642197976075,0.06789667588152637,0.7595941116802706
large_forecast_price_ramp,pred_ExtraTrees_no_price,1280,695.7530490823473,982.5322762304826,-436.59380277925476,463.2984698865939,1788.3667589493894,2230.6720725428127,0.06541738489680661,0.7619156869343443
large_forecast_price_ramp,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,1280,667.4940884695523,950.8633456594255,-379.22747470257207,442.0603298412725,1628.6756203842504,2212.2395569977907,0.06264642369398978,0.7770161845282806
large_forecast_price_ramp,pred_LightGBM_no_price,1280,682.5627962303594,927.8695756852285,-450.5270344385737,462.40918998887264,1647.4839896479727,2066.43059866989,0.06505128604833924,0.7876701763194143
large_forecast_price_ramp,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,1280,681.1874940976654,933.341735197738,-439.79890279600687,460.7649057350927,1701.9630958005137,2040.007476645862,0.06477452934838644,0.7851583386949297
large_forecast_price_ramp,pred_XGBoost_no_price,1280,686.0850392659506,944.057916917163,-456.1893567403157,479.9599609375,1725.7705078125,2109.78935546875,0.06508093708840196,0.7801965995032274
large_forecast_price_ramp,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,1280,698.2915707906088,968.0495920551253,-441.61100819905596,462.3271484375,1663.7747070312507,2246.867333984374,0.06604284539419165,0.7688827601220491
forecast_price_spike,pred_HGB_no_price,1422,808.0757678458111,1088.4772024542663,-537.892023013097,575.8176903645399,1914.4067862533675,2423.407753314277,0.0744248059646846,0.7515736311221136
forecast_price_spike,pred_HGB_with_p0054n_exact_dayahead_advanced_price,1422,837.4532657854244,1126.3585866008539,-586.6110036348804,581.2110257128898,2063.7715957207374,2465.0055046301595,0.0771992565770195,0.7339811785623813
forecast_price_spike,pred_ExtraTrees_no_price,1422,878.1859349230839,1187.641908002171,-651.7567890503327,600.6887283241449,2137.4817888393436,2555.984445739452,0.08011497718004557,0.7042463965448136
forecast_price_spike,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,1422,784.2082757576809,1085.3237171421877,-540.2306068069232,532.5973805160465,1957.9683728486032,2371.6626431558398,0.07122886404595073,0.7530110045016944
forecast_price_spike,pred_LightGBM_no_price,1422,794.3822905661486,1047.4602050671429,-562.305229939627,571.4082564211631,1872.7809198968575,2253.604559848229,0.07328581667796122,0.7699437261772095
forecast_price_spike,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,1422,782.6671385116962,1033.325015808039,-523.1341113399784,582.3190489509961,1827.0978795111664,2226.967362699337,0.07235895699618097,0.7761109242789566
forecast_price_spike,pred_XGBoost_no_price,1422,819.8040424101911,1093.5870136220753,-596.5318895957864,604.890625,1992.9864257812499,2364.7395507812503,0.07543411467564273,0.7492357017068636
forecast_price_spike,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,1422,815.5897106344131,1087.2962900077189,-584.7279249031221,583.68603515625,1970.2664062500005,2369.944921875,0.07506169965851346,0.7521123849862889
