MAE,absolute_daily_energy_error_MWh,bias_mw,count,daily_energy_error_percent,mean_actual_load_mw,mean_temperature_2m,p90_absolute_error_mw,slice,slice_type
264.6256238446256,4991.24391874865,-48.78903455577009,43,9.515456156098095,2189.3024870801037,-5.001783430232557,,cold,temperature
127.45461888072106,2130.454274113636,-60.987669087323304,11,6.182080396297118,1445.4280303030303,22.30613446969697,,hot,temperature
261.77670566336127,4191.198115015209,-8.994256545051831,103,8.853288374037115,1743.1282699568499,3.8154016990291257,,mild,temperature
267.95566345861346,4369.852625001675,11.065888701873526,25,8.080916882162173,2279.7095833333333,-13.443575833333332,,very_cold,temperature
162.12894601511923,2193.4219863749286,-3.211203403983273,58,7.295374782136651,1414.0095186781614,13.527409123563213,,warm,temperature
263.3964566965524,4418.498303963745,-16.068360774804756,171,8.906878592351433,1933.7716861598453,-0.9250275341130595,,high,heating_degree
134.17866902698609,1751.8831184241403,-33.122364263123245,29,5.096352880668769,1435.791666666667,18.37699640804598,,low,heating_degree
172.8574568695563,2496.221544767394,2.5858601559746957,40,8.583509704594995,1406.8575520833335,12.425607812500001,,medium,heating_degree
188.3791060283316,2769.9631571903824,69.54084832321233,60,9.43680486748883,1351.6003472222221,12.217035416666668,,load_q1_low,load
188.43670118930575,2848.9504848578013,6.921368178396494,60,7.563897027850544,1555.5633680555559,9.11342708333333,,load_q2,load
231.08651975464875,3384.259868902981,77.67879727838779,60,7.555037305051254,1849.988194444445,0.24958368055555577,,load_q3,load
322.8689025556356,6100.437859095435,-214.22107794471668,60,9.014441816530857,2385.968402777778,-7.050421180555554,,load_q4_high,load
162.07532271251046,2802.193117514314,-18.47320672776972,60,6.061342923908793,1832.7814814814815,4.235301388888888,,ramp_q1_low,ramp
226.67949830687414,3791.8728018467746,-32.130483040574575,60,8.847061700867915,1815.0983217592595,2.420232291666666,,ramp_q2,ramp
217.26797508421103,3430.234516753864,45.975611584191206,60,8.691775361813052,1733.2893518518515,3.6842579861111115,,ramp_q3,ramp
