family,name,horizon_h,split,row_count,MAE,RMSE,median_absolute_error,p90_absolute_error,p95_absolute_error,bias,sMAPE,R2
baseline,pred_B2_calendar_hour_weekday_profile,120,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,144,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,144,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,168,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,168,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B3_seasonal_hour_weekday_profile,1,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,1,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,3,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,3,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,6,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,6,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,12,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,12,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,24,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,24,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,48,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,48,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,72,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,72,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,96,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,96,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,120,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,120,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,144,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,144,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B3_seasonal_hour_weekday_profile,168,validate,8760,372.92410526104555,391.41965823573804,338.22579292170275,554.552580512499,581.8906615062504,372.92410526104555,0.7306276369223447,-65.30575030785322
baseline,pred_B3_seasonal_hour_weekday_profile,168,holdout,3480,488.13278492565604,500.12157197440143,513.3131913246518,603.7268201877773,631.7223812156238,488.13278492565604,0.8508305716470725,-62.856493130122765
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,1,validate,8760,15.825957188542167,19.19616624282477,14.343850008105434,30.78367482278858,35.401627703395754,-0.033637221562808566,0.05222192942325602,0.8405241477411133
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,1,holdout,3480,16.974642374595124,20.462133590877755,15.4085220185017,32.94107676329868,37.94530980672629,0.5036426965709961,0.055190237097505535,0.8931054113056298
